Panel,Variant,Model,Factor,Coefficient,t-value,Nobs,R2
Panel B: Fama-French [2015],longonly,Mkt-RF,Alpha,0.10427181160793778,11.198094584078834,642.0,0.7633192005100063
Panel B: Fama-French [2015],longonly,Mkt-RF,Mkt-RF,0.7927634678937757,45.431969754957805,642.0,0.7633192005100063
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML,Alpha,0.08329611901861707,10.273192100626453,642.0,0.8265744055824318
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML,Mkt-RF,0.848937077446258,52.87955109860529,642.0,0.8265744055824318
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML,SMB,0.024193188935742103,1.0656820614489526,642.0,0.8265744055824318
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML,HML,0.37472058288536614,15.216482219663508,642.0,0.8265744055824318
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA,Alpha,0.059962273277833725,8.269005058885641,642.0,0.8691229699204783
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA,Mkt-RF,0.9073837796891223,61.15652290052549,642.0,0.8691229699204783
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA,SMB,0.11295912290861246,5.433764111357727,642.0,0.8691229699204783
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA,HML,0.22127475670626495,7.587796662962883,642.0,0.8691229699204783
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA,RMW,0.3870827410147983,13.558180117846598,642.0,0.8691229699204783
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA,CMA,0.3272469198329728,7.538938470707659,642.0,0.8691229699204783
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA + MOM,Alpha,0.047702640452756975,6.991019506924317,642.0,0.8878272136136084
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA + MOM,Mkt-RF,0.927185654010235,66.79601276342962,642.0,0.8878272136136084
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA + MOM,SMB,0.1047689634164098,5.434853956946784,642.0,0.8878272136136084
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA + MOM,HML,0.290187645243833,10.424656415892077,642.0,0.8878272136136084
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA + MOM,RMW,0.3570708983803321,13.417581779799205,642.0,0.8878272136136084
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA + MOM,CMA,0.2837453440349397,7.016546652857771,642.0,0.8878272136136084
Panel B: Fama-French [2015],longonly,Mkt-RF + SMB + HML + RMW + CMA + MOM,MOM,0.1361028907208054,10.289948111175026,642.0,0.8878272136136084
Panel B: Fama-French [2015],betaneutral,Mkt-RF,Alpha,0.17279368063435324,8.120500316166236,606.0,0.00033380512083369673
Panel B: Fama-French [2015],betaneutral,Mkt-RF,Mkt-RF,-0.01753188121657351,-0.4490942180378046,606.0,0.00033380512083369673
Panel B: Fama-French [2015],betaneutral,Mkt-RF + SMB + HML,Alpha,0.14490134518912237,7.5557294416840985,606.0,0.21370047735928588
Panel B: Fama-French [2015],betaneutral,Mkt-RF + SMB + HML,Mkt-RF,0.15193085111899052,4.0761058136773825,606.0,0.21370047735928588
Panel B: Fama-French [2015],betaneutral,Mkt-RF + SMB + HML,SMB,-0.35295381079439847,-6.6519545008179986,606.0,0.21370047735928588
Panel B: Fama-French [2015],betaneutral,Mkt-RF + SMB + HML,HML,0.6225383624753426,10.87282683936148,606.0,0.21370047735928588
Panel B: Fama-French [2015],betaneutral,Mkt-RF + SMB + HML + RMW + CMA,Alpha,0.10100621658012093,5.497489154572992,606.0,0.32315320096541256
