YearMonth,Portfolio Returns,Portfolio
1976-09,0.028179720000000002,Size
1976-10,-0.0225904693877551,Size
1976-11,0.04701932060606061,Size
1976-12,0.09325504081632653,Size
1977-01,0.004852919999999999,Size
1977-02,0.004646970000000001,Size
1977-03,-0.0077323,Size
1977-04,0.015024029999999999,Size
1977-05,-0.00702974,Size
1977-06,0.055588069999999996,Size
1977-07,-0.005532181818181818,Size
1977-08,0.007456282828282828,Size
1977-09,0.019986040404040405,Size
1977-10,-0.02380633,Size
1977-11,0.075723,Size
1977-12,0.018164131313131316,Size
1978-01,-0.04467169696969697,Size
1978-02,0.01954548484848485,Size
1978-03,0.050517183673469385,Size
1978-04,0.0668161,Size
1978-05,0.053207101010101,Size
1978-06,0.01235761224489796,Size
1978-07,0.0559210202020202,Size
1978-08,0.07462723711340206,Size
1978-09,0.009505050505050506,Size
1978-10,-0.19152109183673469,Size
1978-11,0.053288555555555554,Size
1978-12,0.028125949494949495,Size
1979-01,0.05139539175257732,Size
1979-02,-0.021184958333333333,Size
1979-03,0.08249008510638298,Size
1979-04,0.02312642424242424,Size
1979-05,-0.010504683673469389,Size
1979-06,0.06326973195876288,Size
1979-07,0.02441970707070707,Size
1979-08,0.07227521212121212,Size
1979-09,0.0024056326530612245,Size
1979-10,-0.10521171000000001,Size
1979-11,0.09049849494949495,Size
1979-12,0.06568838383838384,Size
1980-01,0.07525365835704,Size
1980-02,-0.031524444444444445,Size
1980-03,-0.17987426530612244,Size
1980-04,0.06821400999999999,Size
1980-05,0.08566082,Size
1980-06,0.040991496845900005,Size
1980-07,0.08085843434343434,Size
1980-08,0.047495242424242426,Size
1980-09,0.04605936363636364,Size
1980-10,0.03911543,Size
1980-11,0.06252521212121212,Size
1980-12,-0.016677397959183674,Size
1981-01,-0.005006419999999999,Size
1981-02,0.02221330612244898,Size
1981-03,0.0642243125,Size
1981-04,0.043204440000000004,Size
1981-05,0.03701985858585859,Size
1981-06,-0.016489424242424243,Size
1981-07,-0.01871221212121212,Size
1981-08,-0.06339170408163265,Size
1981-09,-0.0582355,Size
1981-10,0.06163392857142857,Size
1981-11,0.05190191836734694,Size
1981-12,0.0019684536082474223,Size
1982-01,-0.060459767676767674,Size
1982-02,-0.04908926262626263,Size
1982-03,-0.0077739484536082475,Size
1982-04,0.04848343,Size
1982-05,-0.04393305,Size
1982-06,-0.0142328,Size
1982-07,-0.018448896907216496,Size
1982-08,0.09732734020618557,Size
1982-09,0.04787259375,Size
1982-10,0.12899017000000002,Size
1982-11,0.09825193,Size
1982-12,0.009731767676767677,Size
1983-01,0.04972569696969697,Size
1983-02,0.04788608080808081,Size
1983-03,0.04566510204081633,Size
1983-04,0.06642309,Size
1983-05,0.0430398,Size
1983-06,0.05337294,Size
1983-07,-0.017432704081632652,Size
1983-08,-0.03664964285714285,Size
1983-09,0.039933082474226805,Size
1983-10,-0.05642209090909091,Size
1983-11,0.059704353535353534,Size
1983-12,-0.012308727272727273,Size
1984-01,-0.01260196,Size
1984-02,-0.048853191919191914,Size
1984-03,0.02598768686868687,Size
1984-04,-0.01144663,Size
1984-05,-0.045738190000000005,Size
1984-06,0.028687010204081632,Size
1984-07,-0.03458320202020202,Size
1984-08,0.12038539393939393,Size
1984-09,0.010567041237113403,Size
1984-10,-0.01547069,Size
1984-11,-0.007540676767676767,Size
1984-12,0.006797282828282828,Size
1985-01,0.11353876288659795,Size
1985-02,0.027004854166666665,Size
1985-03,-0.0036640104166666665,Size
1985-04,0.0034050505050505046,Size
1985-05,0.030733285714285716,Size
1985-06,0.017513597938144332,Size
1985-07,0.022548673469387756,Size
