Current Quarter,Next Quarter,Overlap Count,Turnover Count,Turnover Fraction
2013-09-30,2013-12-31,64.0,36.0,0.36
2013-12-31,2014-03-31,71.0,29.0,0.29
2014-03-31,2014-06-30,66.0,34.0,0.34
2014-06-30,2014-09-30,60.0,40.0,0.4
2014-09-30,2014-12-31,63.0,37.0,0.37
2014-12-31,2015-03-31,67.0,33.0,0.33
2015-03-31,2015-06-30,66.0,34.0,0.34
2015-06-30,2015-09-30,69.0,31.0,0.31
2015-09-30,2015-12-31,65.0,35.0,0.35
2015-12-31,2016-03-31,63.0,37.0,0.37
2016-03-31,2016-06-30,68.0,32.0,0.32
2016-06-30,2016-09-30,53.0,47.0,0.47
2016-09-30,2016-12-30,47.0,53.0,0.53
