YearMonth,Portfolio Returns,Portfolio
2019-11,0.053987759999999996,Momentum
2019-12,0.01340378787878788,Momentum
2020-01,0.002537806122448978,Momentum
2020-02,-0.055262479591836736,Momentum
2020-03,-0.18275071428571427,Momentum
2020-04,0.16339028865979383,Momentum
2020-05,0.10732584536082475,Momentum
2020-06,0.03583003157894737,Momentum
2020-07,0.09090802999999999,Momentum
2020-08,0.05981644,Momentum
2020-09,0.007077482639019999,Momentum
2020-10,-0.014492701030927837,Momentum
2020-11,0.1550996354166667,Momentum
2020-12,0.07876566666666666,Momentum
2021-01,0.08049792,Momentum
2021-02,0.03066494,Momentum
2021-03,-0.06613582,Momentum
2021-04,0.02184326,Momentum
2021-05,-0.0099646,Momentum
2021-06,0.09187645,Momentum
2021-07,-0.053537720000000004,Momentum
2021-08,0.04403599,Momentum
2021-09,-0.01776332349824,Momentum
2021-10,0.06325440404040404,Momentum
2021-11,-0.028936656565656565,Momentum
2021-12,0.0010838787878787873,Momentum
2022-01,-0.07792929292929293,Momentum
2022-02,0.021156292929292927,Momentum
2022-03,0.031756477267565655,Momentum
2022-04,-0.0736600101010101,Momentum
2022-05,0.04481929591836735,Momentum
2022-06,-0.13800928571428572,Momentum
2022-07,0.09663970408163265,Momentum
2022-08,0.026487408163265305,Momentum
2022-09,-0.09682028571428572,Momentum
2022-10,0.15585860204081634,Momentum
2022-11,0.012316876288659793,Momentum
2022-12,-0.08423036082474226,Momentum
2023-01,0.03111858692066,Momentum
2023-02,-0.031638878787878785,Momentum
2023-03,-0.028158464646464647,Momentum
2023-04,-0.0023656600000000008,Momentum
2023-05,-0.01331739393939394,Momentum
2023-06,0.1076541212121212,Momentum
2023-07,0.02532479797979798,Momentum
2023-08,-0.009705949494949495,Momentum
2023-09,-0.06721175510204082,Momentum
2023-10,-0.07451633,Momentum
2023-11,0.14065584,Momentum
2023-12,0.12854386,Momentum
2017-04,0.007341220000000001,LowVol
2017-05,0.02136031,LowVol
2017-06,0.0035718499999999997,LowVol
2017-07,0.01647484,LowVol
2017-08,-0.00070314,LowVol
2017-09,0.016948829999999998,LowVol
2017-10,0.021533880000000002,LowVol
2017-11,0.04296075,LowVol
2017-12,-0.0020749200000000005,LowVol
2018-01,0.01834581,LowVol
2018-02,-0.03623516,LowVol
2018-03,0.010547200000000001,LowVol
2018-04,0.0021526999999999996,LowVol
2018-05,0.00925579,LowVol
2018-06,0.00976725,LowVol
2018-07,0.03959647474747475,LowVol
2018-08,0.024984353535353533,LowVol
2018-09,0.0036652727272727275,LowVol
2018-10,-0.0309289898989899,LowVol
2018-11,0.043310191919191915,LowVol
2018-12,-0.07224273737373738,LowVol
2019-01,0.0506164482575,LowVol
2019-02,0.039904212121212125,LowVol
2019-03,0.02064348484848485,LowVol
2019-04,0.03008049,LowVol
2019-05,-0.00962792,LowVol
2019-06,0.048943959595959596,LowVol
2019-07,0.010300160000000001,LowVol
2019-08,0.02403833,LowVol
2019-09,0.02087768,LowVol
2019-10,-0.00976779,LowVol
2019-11,-0.00193629,LowVol
2019-12,0.0241464,LowVol
2020-01,0.02987984,LowVol
2020-02,-0.09965845999999999,LowVol
2020-03,-0.12262389000000001,LowVol
2020-04,0.0494318,LowVol
2020-05,0.04000297,LowVol
2020-06,-0.02722758,LowVol
2020-07,0.056014888888888885,LowVol
2020-08,0.007715313131313132,LowVol
2020-09,-0.020365464646464645,LowVol
2020-10,0.0002235454545454548,LowVol
2020-11,0.07106925252525252,LowVol
2020-12,0.022947525252525254,LowVol
2021-01,-0.03105621,LowVol
2021-02,-0.01189753,LowVol
2021-03,0.08483995999999999,LowVol
2021-04,0.04111611,LowVol
2021-05,0.00494359,LowVol
2021-06,-0.0077114900000000005,LowVol
2021-07,0.03033914,LowVol
2021-08,0.01295713,LowVol
2021-09,-0.049277249999999995,LowVol
2021-10,0.05078923,LowVol
2021-11,-0.02235562,LowVol
2021-12,0.08662245,LowVol
2022-01,-0.036628720000000003,LowVol
2022-02,-0.019727520000000002,LowVol
2022-03,0.05241093,LowVol
2022-04,-0.026372510000000002,LowVol
2022-05,0.01787598,LowVol
2022-06,-0.03511383,LowVol
2022-07,0.04635635,LowVol
2022-08,-0.023478750000000003,LowVol
2022-09,-0.07552945,LowVol
2022-10,0.08194615000000001,LowVol
2022-11,0.05235434,LowVol
2022-12,-0.024039610000000003,LowVol
2023-01,-0.0013529200000000003,LowVol
2023-02,-0.027421380000000002,LowVol
2023-03,0.01625972,LowVol
2023-04,0.01955729,LowVol
2023-05,-0.051181279999999996,LowVol
2023-06,0.03339652,LowVol
2023-07,0.016238600000000002,LowVol
2023-08,-0.03192009,LowVol
2023-09,-0.03635176,LowVol
2023-10,-0.006046579999999999,LowVol
2023-11,0.0492197,LowVol
2023-12,0.02273172,LowVol
2017-04,0.0045822,NPY
2017-05,-0.004017570000000001,NPY
2017-06,0.01865702,NPY
2017-07,0.01695689,NPY
2017-08,-0.02317669,NPY
2017-09,0.03378971,NPY
2017-10,-0.00409213,NPY
2017-11,0.0517379,NPY
2017-12,0.03160097,NPY
2018-01,0.047670769999999994,NPY
2018-02,-0.04701612121212121,NPY
2018-03,-0.017445616161616162,NPY
2018-04,0.007269727272727274,NPY
2018-05,0.016110434343434343,NPY
2018-06,0.007229858585858586,NPY
2018-07,0.026567212121212123,NPY
2018-08,0.02553011111111111,NPY
2018-09,-0.004824656565656565,NPY
2018-10,-0.07396681,NPY
2018-11,0.03450834,NPY
2018-12,-0.11197593,NPY
2019-01,0.11120758,NPY
2019-02,0.05395643,NPY
2019-03,-0.01905491,NPY
2019-04,0.06143452,NPY
2019-05,-0.09598029999999999,NPY
2019-06,0.08378963,NPY
2019-07,0.01410058,NPY
2019-08,-0.06889338,NPY
2019-09,0.059491209999999996,NPY
2019-10,0.0136403,NPY
2019-11,0.044591240000000004,NPY
2019-12,0.024784700000000003,NPY
2020-01,-0.05143198,NPY
2020-02,-0.10445742,NPY
2020-03,-0.26264413000000003,NPY
2020-04,0.16327498,NPY
2020-05,0.04220741,NPY
2020-06,0.03014705,NPY
2020-07,0.02117093,NPY
2020-08,0.054760159999999995,NPY
2020-09,-0.03629068,NPY
2020-10,0.0403428,NPY
2020-11,0.1923958,NPY
2020-12,0.07642186,NPY
2021-01,0.020779239999999997,NPY
2021-02,0.07833065,NPY
2021-03,0.06782925252525253,NPY
2021-04,0.040214309999999996,NPY
2021-05,0.02575738,NPY
2021-06,-0.013990212121212122,NPY
2021-07,0.01010918,NPY
2021-08,0.02820009,NPY
2021-09,-0.03982075,NPY
2021-10,0.04596154,NPY
2021-11,-0.02061469,NPY
2021-12,0.06034906,NPY
2022-01,-0.03150815,NPY
2022-02,-0.0038320900000000002,NPY
2022-03,0.00943622,NPY
2022-04,-0.039686120000000005,NPY
2022-05,0.03171212,NPY
2022-06,-0.11474712999999999,NPY
2022-07,0.08771614,NPY
2022-08,-0.02623668,NPY
2022-09,-0.09432282,NPY
2022-10,0.13088787999999998,NPY
2022-11,0.07254685,NPY
2022-12,-0.06023667,NPY
2023-01,0.11560594,NPY
2023-02,-0.03469384,NPY
2023-03,-0.04775305999999999,NPY
2023-04,0.00681759,NPY
2023-05,-0.03573273,NPY
2023-06,0.1180626,NPY
2023-07,0.0597931,NPY
2023-08,-0.023157434343434345,NPY
2023-09,-0.02896732323232323,NPY
2023-10,-0.0571305,NPY
2023-11,0.08946841000000001,NPY
2023-12,0.08423211,NPY
